                                                                                  REPORTE FINAL
                              ARTISTAS                               TITULOS                        REPRODUCCIONES                               GENEROS                             BAILABLES
                          Busta_Rhymes                              Touch_It                                214960                            hiphop-pop                                 0.658
                                  CNCO                       Reggaeton_Lento                                188786                             pop-latin                                 0.623
                    Cali_Swag_District                Teach_Me_How_to_Dougie                                237480                            hiphop-pop                                 0.846
                         Calvin_Harris                Acceptable_in_the_80's                                333680           hiphop-pop-Dance/Electronic                                 0.787
                         Calvin_Harris                                 Blame                                212960           hiphop-pop-Dance/Electronic                                 0.414
                         Calvin_Harris                                Bounce                                222186           hiphop-pop-Dance/Electronic                                 0.779
                         Calvin_Harris              Drinking_from_the_Bottle                                240346           hiphop-pop-Dance/Electronic                                 0.665
                         Calvin_Harris                         Feel_So_Close                                206413           hiphop-pop-Dance/Electronic                                 0.707
                         Calvin_Harris                                 Feels                                223413           hiphop-pop-Dance/Electronic                                 0.893
                         Calvin_Harris                                 Giant                                229184           hiphop-pop-Dance/Electronic                                 0.807
                         Calvin_Harris                 How_Deep_Is_Your_Love                                212640           hiphop-pop-Dance/Electronic                                 0.738
                         Calvin_Harris                         I'm_Not_Alone                                210973           hiphop-pop-Dance/Electronic                                 0.597
                         Calvin_Harris                      I_Need_Your_Love                                234506           hiphop-pop-Dance/Electronic                                 0.695
                         Calvin_Harris                              Let's_Go                                232800           hiphop-pop-Dance/Electronic                                  0.71
                         Calvin_Harris                                My_Way                                219159           hiphop-pop-Dance/Electronic                                 0.818
                         Calvin_Harris                              One_Kiss                                214846           hiphop-pop-Dance/Electronic                                 0.791
                         Calvin_Harris                               Outside                                227266           hiphop-pop-Dance/Electronic                                 0.646
                         Calvin_Harris                                Summer                                224506           hiphop-pop-Dance/Electronic                                 0.603
                         Calvin_Harris                         Sweet_Nothing                                212560           hiphop-pop-Dance/Electronic                                 0.573
                         Calvin_Harris                    Thinking_About_You                                247933           hiphop-pop-Dance/Electronic                                 0.725
                         Calvin_Harris             This_Is_What_You_Came_For                                222160           hiphop-pop-Dance/Electronic                                 0.631
                         Calvin_Harris                         Under_Control                                184280           hiphop-pop-Dance/Electronic                                 0.544
                         Calvin_Harris                  We'll_Be_Coming_Back                                234360           hiphop-pop-Dance/Electronic                                 0.596
                        Camila_Cabello                                Havana                                216896                                   pop                                 0.768
                        Camila_Cabello                                  Liar                                207038                                   pop                                  0.74
                        Camila_Cabello                     Never_Be_the_Same                                226973                                   pop                                 0.637
                         Camille_Jones                            The_Creeps                                152333                                   pop                                 0.847
                                Camron                                Oh_Boy                                204706                            hiphop-pop                                 0.754
                        Capital_Cities                        Safe_And_Sound                                192693                                   pop                                 0.652
                               Cardi_B                          Bodak_Yellow                                223712                            hiphop-pop                                 0.926
                               Cardi_B                          Bodak_Yellow                                223962                            hiphop-pop                                 0.929
                               Cardi_B                             I_Like_It                                253390                            hiphop-pop                                 0.816
                               Cardi_B                                 Money                                183527                            hiphop-pop                                  0.95
                               Cardi_B                             Please_Me                                200889                            hiphop-pop                                 0.747
                           Carl_Thomas                                I_Wish                                226760                               pop-R&B                                 0.736
                      Carly_Rae_Jepsen                         Call_Me_Maybe                                193400                  pop-Dance/Electronic                                 0.783
                      Carrie_Underwood                      Before_He_Cheats                                199946                           pop-country                                 0.519
                      Carrie_Underwood                            Blown_Away                                240133                           pop-country                                 0.531
                               Cascada               Evacuate_The_Dancefloor                                207200           hiphop-pop-Dance/Electronic                                 0.762
                               Cascada                    Everytime_We_Touch                                199120           hiphop-pop-Dance/Electronic                                  0.64
                                  Case                           Missing_You                                284666                        hiphop-pop-R&B                                 0.612
                          Cashmere_Cat                              Miss_You                                186231                              pop-rock                                 0.747
                                Cassie                                Me_&_U                                192213                               pop-R&B                                 0.803
                           Celine_Dion                    A_New_Day_Has_Come                                259773                                   pop                                 0.574
                           Celine_Dion                  That's_the_Way_It_Is                                241373                                   pop                                 0.634
                          Chad_Kroeger                                  Hero                                200480                                 metal                                 0.427
                        Chamillionaire                                Ridin'                                303053                            hiphop-pop                                 0.787
                       Charlene_Soraia                  Wherever_You_Will_Go                                197577                                   pop                                 0.597
                      Charli_Baltimore                              Down_4_U                                318213                                   pop                                  0.64
                            Charli_XCX                             Boom_Clap                                169866                  pop-Dance/Electronic                                 0.659
                          Charlie_Puth                             Attention                                211475                                   pop                                 0.774
                          Charlie_Puth                           Dangerously                                199133                                   pop                                 0.696
                          Charlie_Puth                           Done_for_Me                                180493                                   pop                                 0.856
                          Charlie_Puth                              How_Long                                200853                                   pop                                 0.845
                          Charlie_Puth                          The_Way_I_Am                                186080                                   pop                                 0.755
                          Charlie_Puth                 We_Don't_Talk_Anymore                                217706                                   pop                                 0.728
                        Chase_&_Status                           Blind_Faith                                233666                      Dance/Electronic                                  0.45
                           Cheat_Codes                           No_Promises                                223503                  pop-Dance/Electronic                                 0.741
                           Cheat_Codes                                   Sex                                228361                  pop-Dance/Electronic                                  0.51
                            Cher_Lloyd                           Want_U_Back                                214013                  pop-Dance/Electronic                                 0.696
                               Cherish                           Do_It_To_It                                226293                        hiphop-pop-R&B                                 0.826
                                Cheryl                   Fight_For_This_Love                                223253                  pop-Dance/Electronic                                 0.739
                               Chicane                         Don't_Give_Up                                210786                      Dance/Electronic                                 0.644
                      Childish_Gambino                                  3005                                235662                                hiphop                                 0.681
                                Chingy                            Holidae_In                                314400                        hiphop-pop-R&B                                  0.81
                                Chingy                         One_Call_Away                                276800                        hiphop-pop-R&B                                 0.765
                                Chingy                       Pullin'_Me_Back                                234133                        hiphop-pop-R&B                                 0.786
                                Chingy                           Right_Thurr                                250746                        hiphop-pop-R&B                                 0.866
                                  Chip                              Champion                                237293               hiphop-Dance/Electronic                                 0.415
                      Chord_Overstreet                               Hold_On                                198853                     pop-Folk/Acoustic                                 0.618
                           Chris_Brown                                   Ayo                                225226                        hiphop-pop-R&B                                 0.823
                           Chris_Brown                      Beautiful_People                                225881                        hiphop-pop-R&B                                 0.415
                           Chris_Brown                                Deuces                                276560                        hiphop-pop-R&B                                 0.692
                           Chris_Brown                      Don't_Wake_Me_Up                                222306                        hiphop-pop-R&B                                 0.602
                           Chris_Brown                            Fine_China                                213666                        hiphop-pop-R&B                                 0.659
                           Chris_Brown                               Forever                                278573                        hiphop-pop-R&B                                 0.672
                           Chris_Brown                            Gimme_That                                186826                        hiphop-pop-R&B                                 0.678
                           Chris_Brown                             Kiss_Kiss                                250666                        hiphop-pop-R&B                                 0.729
                           Chris_Brown                             Kiss_Kiss                                250666                        hiphop-pop-R&B                                 0.729
                           Chris_Brown                        Look_At_Me_Now                                222586                        hiphop-pop-R&B                                 0.767
                           Chris_Brown                                 Loyal                                264946                        hiphop-pop-R&B                                 0.841
                           Chris_Brown                             New_Flame                                244226                        hiphop-pop-R&B                                 0.702
                           Chris_Brown                               Run_It!                                229866                        hiphop-pop-R&B                                 0.846
                           Chris_Brown                     Turn_Up_the_Music                                227973                        hiphop-pop-R&B                                 0.594
                           Chris_Brown                              With_You                                252120                        hiphop-pop-R&B                                 0.662
                           Chris_Brown                               Yeah_3x                                241666                        hiphop-pop-R&B                                 0.705
                           Chris_Brown                                    Yo                                229040                        hiphop-pop-R&B                                 0.536
                    Christina_Aguilera                    Ain't_No_Other_Man                                228906                                   pop                                 0.862
                    Christina_Aguilera                    Can't_Hold_Us_Down                                255266                                   pop                                 0.859
                    Christina_Aguilera                              Candyman                                194213                                   pop                                 0.686
                    Christina_Aguilera                     Come_on_over_Baby                                203333                                   pop                                 0.829
                    Christina_Aguilera                                Dirrty                                298853                                   pop                                  0.64
                    Christina_Aguilera                               Fighter                                245960                                   pop                                 0.435
                    Christina_Aguilera                         I_Turn_to_You                                273706                                   pop                                 0.599
                    Christina_Aguilera                        Lady_Marmalade                                264893                                   pop                                  0.76
                      Christina_Milian                              AM_To_PM                                231213                        hiphop-pop-R&B                                 0.872
                      Christina_Milian                            Dip_It_Low                                197186                        hiphop-pop-R&B                                 0.752
                      Christina_Milian                   When_You_Look_At_Me                                222546                        hiphop-pop-R&B                                 0.955
                       Christina_Perri                      A_Thousand_Years                                285120                                   pop                                 0.421
                       Christina_Perri                         Jar_of_Hearts                                246587                                   pop                                 0.349
                       Christina_Perri                                 human                                250706                                   pop                                 0.439
                                 Ciara                              1_2_Step                                202213                               pop-R&B                                 0.939
                                 Ciara                            Body_Party                                234040                               pop-R&B                                 0.577
                                 Ciara                                Get_Up                                261880                               pop-R&B                                 0.964
                                 Ciara                               Goodies                                223000                               pop-R&B                                 0.826
                                 Ciara                            Like_a_Boy                                237053                               pop-R&B                                 0.701
                                 Ciara                        Love_Sex_Magic                                220426                               pop-R&B                                 0.893
                                 Ciara                                    Oh                                256346                               pop-R&B                                   0.8
                                 Ciara                               Promise                                267413                               pop-R&B                                 0.697
                          Clean_Bandit                             Rather_Be                                227833                  pop-Dance/Electronic                                 0.799
                          Clean_Bandit                              Rockabye                                251088                  pop-Dance/Electronic                                  0.72
                          Clean_Bandit                                  Solo                                222653                  pop-Dance/Electronic                                 0.737
                          Clean_Bandit                              Symphony                                214866                  pop-Dance/Electronic                                 0.718
                          Clean_Bandit                                 Tears                                225914                  pop-Dance/Electronic                                 0.605
                        Cobra_Starship                     Good_Girls_Go_Bad                                196413                  pop-Dance/Electronic                                 0.594
                        Cobra_Starship                   You_Make_Me_Feel...                                215693                  pop-Dance/Electronic                                 0.668
                         Colby_O'Donis                          What_You_Got                                243013                        hiphop-pop-R&B                                 0.775
                              Coldplay                   A_Sky_Full_of_Stars                                267866                              rock-pop                                 0.545
                              Coldplay               Adventure_of_a_Lifetime                                263786                              rock-pop                                 0.638
                              Coldplay                                Clocks                                307879                              rock-pop                                 0.577
                              Coldplay                                Clocks                                307879                              rock-pop                                 0.577
                              Coldplay         Every_Teardrop_Is_a_Waterfall                                240796                              rock-pop                                 0.425
                              Coldplay                  Hymn_for_the_Weekend                                258266                              rock-pop                                 0.491
                              Coldplay                           In_My_Place                                226680                              rock-pop                                 0.424
                              Coldplay                              Paradise                                278719                              rock-pop                                 0.449
                              Coldplay                              Paradise                                278719                              rock-pop                                 0.449
                              Coldplay                     Princess_of_China                                239215                              rock-pop                                  0.42
                              Coldplay                        Speed_of_Sound                                287906                              rock-pop                                 0.514
                              Coldplay                           Violet_Hill                                222653                              rock-pop                                  0.33
                              Coldplay                          Viva_La_Vida                                242373                              rock-pop                                 0.486
                        Counting_Crows                       Big_Yellow_Taxi                                225426                              rock-pop                                 0.669
                           Craig_David                                7_Days                                235133                        hiphop-pop-R&B                                 0.659
                           Craig_David                Don't_Love_You_No_More                                243986                        hiphop-pop-R&B                                 0.636
                           Craig_David                            Fill_Me_In                                257200                        hiphop-pop-R&B                                 0.682
                           Craig_David                            Fill_Me_In                                257200                        hiphop-pop-R&B                                 0.682
                           Craig_David                           Rise_&_Fall                                287226                        hiphop-pop-R&B                                 0.405
                            Crazy_Frog                                Axel_F                                168879                                   pop                                  0.86
                            Crazy_Town                             Butterfly                                216733                            rock-metal                                 0.736
                                 Creed                                Higher                                316733                        pop-rock-metal                                 0.459
                                 Creed                          My_Sacrifice                                294600                        pop-rock-metal                                  0.32
                                 Creed                       One_Last_Breath                                242000                        pop-rock-metal                                  0.38
                                 Creed                   With_Arms_Wide_Open                                274800                        pop-rock-metal                                  0.41
                                   D12                              How_Come                                249533                       hiphop-pop-rock                                 0.745
                                   D12                               My_Band                                298773                       hiphop-pop-rock                                 0.851
                                   D12                          Purple_Pills                                304506                       hiphop-pop-rock                                  0.78
                                   D4L                           Laffy_Taffy                                224253                            hiphop-pop                                 0.891
                                   D4L                           Laffy_Taffy                                224253                            hiphop-pop                                 0.891
                          DB_Boulevard                         Point_Of_View                                231166                      Dance/Electronic                                 0.676
                                   DEV                           In_The_Dark                                226226                  pop-Dance/Electronic                                 0.736
                               DJ_Atzi                              Hey_Baby                                219240   pop-easy_listening-Dance/Electronic                                 0.666
                             DJ_Casper                         Cha_Cha_Slide                                222146                                   pop                                 0.853
                              DJ_Fresh                             Gold_Dust                                192446                  pop-Dance/Electronic                                 0.451
                              DJ_Fresh                         Hot_Right_Now                                182333                  pop-Dance/Electronic                                 0.524
                              DJ_Fresh                                Louder                                206776                  pop-Dance/Electronic                                  0.31
                             DJ_Khaled                       All_I_Do_Is_Win                                232506                            hiphop-pop                                 0.544
                             DJ_Khaled                            I'm_On_One                                296146                            hiphop-pop                                 0.413
                             DJ_Khaled                            No_Brainer                                260000                            hiphop-pop                                 0.552
                             DJ_Khaled                         Wild_Thoughts                                204173                            hiphop-pop                                 0.671
                         DJ_Pied_Piper                Do_You_Really_Like_It?                                217120                      Dance/Electronic                                 0.847
                              DJ_Sammy                                Heaven                                233600                                   pop                                 0.571
                              DJ_Snake                       Let_Me_Love_You                                205946           hiphop-pop-Dance/Electronic                                 0.649
                              DJ_Snake                                Middle                                220573           hiphop-pop-Dance/Electronic                                 0.611
                              DJ_Snake                             Taki_Taki                                212500           hiphop-pop-Dance/Electronic                                 0.842
                              DJ_Snake                             Taki_Taki                                212500           hiphop-pop-Dance/Electronic                                 0.842
                              DJ_Snake                    Turn_Down_for_What                                213733           hiphop-pop-Dance/Electronic                                 0.818
                              DJ_Snake                  You_Know_You_Like_It                                247266           hiphop-pop-Dance/Electronic                                 0.407
                              DJ_Snake                  You_Know_You_Like_It                                247266           hiphop-pop-Dance/Electronic                                 0.407
                                   DMX                              Party_Up                                268866                            hiphop-pop                                  0.51
                                   DMX                  X_Gon'_Give_It_To_Ya                                217586                            hiphop-pop                                 0.761
                                  DNCE                     Cake_By_The_Ocean                                219146                                   pop                                 0.774
                                DaBaby                                  Suge                                163320                                hiphop                                 0.876
                               Da_Brat                         What'chu_Like                                221160                        hiphop-pop-R&B                                 0.879
                          Daddy_Yankee                             Con_Calma                                193226                                 latin                                 0.737
                          Daddy_Yankee                                  Dura                                200480                                 latin                                 0.783
                          Daddy_Yankee                              Gasolina                                192600                                 latin                                 0.857
                             Daft_Punk                             Get_Lucky                                248413               hiphop-Dance/Electronic                                 0.794
                             Daft_Punk                Lose_Yourself_to_Dance                                353893               hiphop-Dance/Electronic                                 0.832
                             Daft_Punk                         One_More_Time                                320357               hiphop-Dance/Electronic                                 0.613
                    Daniel_Bedingfield                   Gotta_Get_Thru_This                                162333                                   pop                                 0.836
                    Daniel_Bedingfield                   Gotta_Get_Thru_This                                161240                                   pop                                 0.838
                    Daniel_Bedingfield                 If_You're_Not_The_One                                257026                                   pop                                 0.688
                    Daniel_Bedingfield                 If_You're_Not_The_One                                257026                                   pop                                 0.688
                         Daniel_Powter                               Bad_Day                                233640                                   pop                                 0.599
                           Danity_Kane                               Damaged                                244266                               pop-R&B                                 0.774
                                Darude                             Sandstorm                                225493                  pop-Dance/Electronic                                 0.528
                              Daughtry                         It's_Not_Over                                215173                        pop-rock-metal                                  0.45
                                  Dave                              Location                                241293                                hiphop                                 0.812
                       David_Archuleta                                 Crush                                213520                                   pop                                  0.57
                          David_Banner                                  Play                                230133                            hiphop-pop                                 0.837
                          David_Guetta                                    2U                                194896           hiphop-pop-Dance/Electronic                                 0.548
                          David_Guetta                                   Bad                                170625           hiphop-pop-Dance/Electronic                                 0.614
                          David_Guetta                          Bang_My_Head                                193333           hiphop-pop-Dance/Electronic                                 0.599
                          David_Guetta                                Flames                                194680           hiphop-pop-Dance/Electronic                                 0.631
                          David_Guetta                      Gettin'_Over_You                                188000           hiphop-pop-Dance/Electronic                                 0.615
                          David_Guetta                              Hey_Mama                                192560           hiphop-pop-Dance/Electronic                                 0.596
                          David_Guetta                     Lovers_on_the_Sun                                203520           hiphop-pop-Dance/Electronic                                 0.645
                          David_Guetta                              Memories                                210853           hiphop-pop-Dance/Electronic                                 0.546
                          David_Guetta                             Play_Hard                                201000           hiphop-pop-Dance/Electronic                                 0.691
                          David_Guetta                            Sexy_Bitch                                195853           hiphop-pop-Dance/Electronic                                 0.813
                          David_Guetta                              She_Wolf                                222500           hiphop-pop-Dance/Electronic                                 0.492
                          David_Guetta                    This_One's_for_You                                207272           hiphop-pop-Dance/Electronic                                 0.367
                          David_Guetta                              Titanium                                245040           hiphop-pop-Dance/Electronic                                 0.604
                          David_Guetta                            Turn_Me_On                                199680           hiphop-pop-Dance/Electronic                                 0.704
                          David_Guetta                  When_Love_Takes_Over                                191000           hiphop-pop-Dance/Electronic                                 0.675
                          David_Guetta                   Where_Them_Girls_At                                194840           hiphop-pop-Dance/Electronic                                 0.666
                          David_Guetta                     Who's_That_Chick?                                201040           hiphop-pop-Dance/Electronic                                 0.675
                          David_Guetta                           Without_You                                208133           hiphop-pop-Dance/Electronic                                 0.608
                                  Daya                 Sit_Still_Look_Pretty                                202221             rock-pop-Dance/Electronic                                 0.657
                            Dean_Lewis                            Be_Alright                                196373                                   pop                                 0.553
                        Debelah_Morgan                         Dance_with_Me                                220106                               pop-R&B                                  0.85
                               Default                       Wasting_My_Time                                268693                        rock-pop-metal                                 0.443
                         Delta_Goodrem                           Born_to_Try                                251280                                   pop                                 0.542
                         Delta_Goodrem                      Lost_Without_You                                248546                                   pop                                 0.581
                    Dem_Franchize_Boyz               Lean_Wit_It_Rock_Wit_It                                229813                            hiphop-pop                                 0.886
                           Demi_Lovato                             Confident                                205745                                   pop                                 0.594
                           Demi_Lovato                   Cool_for_the_Summer                                214746                                   pop                                 0.586
                           Demi_Lovato               Give_Your_Heart_a_Break                                205346                                   pop                                 0.651
                           Demi_Lovato                          Heart_Attack                                210840                                   pop                                 0.504
                          Dennis_Lloyd                             Nevermind                                156600                                   pop                                   0.6
                                Deorro                       Five_More_Hours                                211975                  pop-Dance/Electronic                                 0.699
                             Desiigner                                 Panda                                246761                            hiphop-pop                                 0.576
                             Desiigner                         Tiimmy_Turner                                239853                            hiphop-pop                                 0.603
                       Destiny's_Child                          Bootylicious                                207906                               pop-R&B                                  0.84
                       Destiny's_Child                             Cater_2_U                                245400                               pop-R&B                                 0.605
                       Destiny's_Child                                  Girl                                224146                               pop-R&B                                 0.567
                       Destiny's_Child                     Independent_Women                                221133                               pop-R&B                                  0.73
                       Destiny's_Child                     Independent_Women                                221133                               pop-R&B                                  0.73
                       Destiny's_Child                                Jumpin                                230200                               pop-R&B                                 0.771
                       Destiny's_Child                        Lose_My_Breath                                242013                               pop-R&B                                 0.814
                       Destiny's_Child                           Say_My_Name                                271333                               pop-R&B                                 0.713
                       Destiny's_Child                               Soldier                                325573                               pop-R&B                                 0.878
                       Destiny's_Child                              Survivor                                254026                               pop-R&B                                 0.514
                                 Diddy                            Come_to_Me                                276786                            hiphop-pop                                 0.819
                                 Diddy                           Coming_Home                                238693                        hiphop-pop-R&B                                 0.392
                                 Diddy                         I_Need_a_Girl                                285586                            hiphop-pop                                 0.713
